date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:49:48	70863/70863	U-----	200	untouched ('')	image/png	etag:%224180781-114cf-63c8cc0714280%22	https://degree-admission.co.in/assets/images/BBA.png	C:/manipal/Manipal%20Landing%20Page/degree-admission.co.in/assets/images/BBA.png	(from https://degree-admission.co.in/)
13:49:51	12184/12184	U-----	200	untouched ('')	image/webp	etag:%224180782-2f98-63c8cc0714280%22	https://degree-admission.co.in/assets/images/BCA.webp	C:/manipal/Manipal%20Landing%20Page/degree-admission.co.in/assets/images/BCA.webp	(from https://degree-admission.co.in/)
13:49:55	245692/245692	U-----	200	untouched ('')	image/png	etag:%224180780-3bfbc-63c8cc0714280%22	https://degree-admission.co.in/assets/images/ba.png	C:/manipal/Manipal%20Landing%20Page/degree-admission.co.in/assets/images/ba.png	(from https://degree-admission.co.in/)
13:49:58	71363/71363	U-----	200	untouched ('')	image/png	etag:%224180783-116c3-63c8cc0714280%22	https://degree-admission.co.in/assets/images/bcom.png	C:/manipal/Manipal%20Landing%20Page/degree-admission.co.in/assets/images/bcom.png	(from https://degree-admission.co.in/)
13:50:02	9112/9112	U-----	200	untouched ('')	image/webp	etag:%224180790-2398-63c8cc0714280%22	https://degree-admission.co.in/assets/images/Menka-Sharma.webp	C:/manipal/Manipal%20Landing%20Page/degree-admission.co.in/assets/images/Menka-Sharma.webp	(from https://degree-admission.co.in/)
13:50:04	13432/13432	U-----	200	untouched ('')	image/webp	etag:%224180794-3478-63c8cc0714280%22	https://degree-admission.co.in/assets/images/Sahana-K.webp	C:/manipal/Manipal%20Landing%20Page/degree-admission.co.in/assets/images/Sahana-K.webp	(from https://degree-admission.co.in/)
13:50:09	16998/16998	U-----	200	untouched ('')	image/webp	etag:%224180784-4266-63c8cc0714280%22	https://degree-admission.co.in/assets/images/Botsa-Anitha.webp	C:/manipal/Manipal%20Landing%20Page/degree-admission.co.in/assets/images/Botsa-Anitha.webp	(from https://degree-admission.co.in/)
13:50:11	6148/6148	U-----	200	untouched ('')	image/webp	etag:%224180796-1804-63c8cc0714280%22	https://degree-admission.co.in/assets/images/Syed.webp	C:/manipal/Manipal%20Landing%20Page/degree-admission.co.in/assets/images/Syed.webp	(from https://degree-admission.co.in/)
13:50:16	14733/14733	U-----	200	untouched ('OK')	text/html	etag:%224180273-398d-6452f44ac913f%22	https://degree-admission.co.in/privacy-policy	C:/manipal/Manipal%20Landing%20Page/degree-admission.co.in/privacy-policy.html	(from https://degree-admission.co.in/)
13:50:18	11306/11306	U-----	200	untouched ('OK')	text/html	etag:%224180975-2c2a-6452f45adc1dc%22	https://degree-admission.co.in/terms-conditions	C:/manipal/Manipal%20Landing%20Page/degree-admission.co.in/terms-conditions.html	(from https://degree-admission.co.in/)
13:50:27	1013/1013	U-----	200	untouched ('OK')	text/css	etag:%225eb03cf0-3f5%22	https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.theme.default.min.css	C:/manipal/Manipal%20Landing%20Page/cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.theme.default.min.css	(from https://degree-admission.co.in/)
13:50:27	89220/89220	U-----	200	untouched ('OK')	text/css	date:Mon,%2007%20Feb%202022%2021:01:39%20GMT	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.0.0/css/all.min.css	C:/manipal/Manipal%20Landing%20Page/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.0.0/css/all.min.css	(from https://degree-admission.co.in/)
13:50:58	80421/80421	U-----	200	untouched ('')	application/javascript	etag:W/%2213a25-1yL6mYLaiqSN+IJRuxiX8Twds7k%22	https://cdn.jsdelivr.net/npm/bootstrap@5.3.0/dist/js/bootstrap.bundle.min.js	C:/manipal/Manipal%20Landing%20Page/cdn.jsdelivr.net/npm/bootstrap@5.3.0/dist/js/bootstrap.bundle.min.js	(from https://degree-admission.co.in/)
13:51:06	106502/106502	U-----	200	untouched ('')	text/javascript	etag:%228a37dab530d4cba8ef9134c279c20612%22	https://img1.wsimg.com/signals/js/clients/scc-c2/scc-c2.min.js	C:/manipal/Manipal%20Landing%20Page/img1.wsimg.com/signals/js/clients/scc-c2/scc-c2.min.js	(from https://degree-admission.co.in/)
13:51:13	17876/17876	U-----	200	untouched ('')	image/webp	etag:%22418077d-45d4-63c8cc0714280%22	https://degree-admission.co.in/assets/images/abdgrid-bg.webp	C:/manipal/Manipal%20Landing%20Page/degree-admission.co.in/assets/images/abdgrid-bg.webp	(from https://degree-admission.co.in/assets/css/style.css)
13:51:13	89501/89501	U-----	200	untouched ('')	application/javascript	date:Tue,%2002%20Mar%202021%2018:58:36%20GMT	https://cdnjs.cloudflare.com/ajax/libs/jquery/3.6.0/jquery.min.js	C:/manipal/Manipal%20Landing%20Page/cdnjs.cloudflare.com/ajax/libs/jquery/3.6.0/jquery.min.js	(from https://degree-admission.co.in/)
13:51:14	44342/44342	U-----	200	untouched ('')	application/javascript	date:Mon,%2004%20May%202020%2016:04:00%20GMT	https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/owl.carousel.min.js	C:/manipal/Manipal%20Landing%20Page/cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/owl.carousel.min.js	(from https://degree-admission.co.in/)
13:51:14	2577/2577	U-----	200	untouched ('')	image/png	date:Mon,%2004%20May%202020%2016:04:00%20GMT	https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.video.play.png	C:/manipal/Manipal%20Landing%20Page/cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.video.play.png	(from https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.carousel.min.css)
13:51:15	355/355	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2004%20Jun%202026%2008:21:13%20GMT	https://degree-admission.co.in/t	C:/manipal/Manipal%20Landing%20Page/degree-admission.co.in/t.26.delayed	(from https://connect.facebook.net/en_US/fbevents.js)
13:51:15	355/355	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2004%20Jun%202026%2008:21:13%20GMT	https://degree-admission.co.in/signals/config/	C:/manipal/Manipal%20Landing%20Page/degree-admission.co.in/signals/config/index.html	(from https://connect.facebook.net/en_US/fbevents.js)
13:51:15	355/355	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2004%20Jun%202026%2008:21:14%20GMT	https://degree-admission.co.in/e	C:/manipal/Manipal%20Landing%20Page/degree-admission.co.in/e	(from https://connect.facebook.net/en_US/fbevents.js)
13:51:16	355/355	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2004%20Jun%202026%2008:21:14%20GMT	https://degree-admission.co.in/signals/plugins/	C:/manipal/Manipal%20Landing%20Page/degree-admission.co.in/signals/plugins/index.html	(from https://connect.facebook.net/en_US/fbevents.js)
13:51:16	355/355	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2004%20Jun%202026%2008:21:14%20GMT	https://degree-admission.co.in/t.resolvedLink	C:/manipal/Manipal%20Landing%20Page/degree-admission.co.in/t.resolvedLink	(from https://connect.facebook.net/en_US/fbevents.js)
13:51:16	355/355	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2004%20Jun%202026%2008:21:15%20GMT	https://degree-admission.co.in/o	C:/manipal/Manipal%20Landing%20Page/degree-admission.co.in/o	(from https://connect.facebook.net/en_US/fbevents.js)
13:51:17	355/355	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2004%20Jun%202026%2008:21:15%20GMT	https://degree-admission.co.in/signals/iwl.js	C:/manipal/Manipal%20Landing%20Page/degree-admission.co.in/signals/iwl.js	(from https://connect.facebook.net/en_US/fbevents.js)
13:51:17	355/355	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2004%20Jun%202026%2008:21:15%20GMT	https://degree-admission.co.in/schema.org/	C:/manipal/Manipal%20Landing%20Page/degree-admission.co.in/schema.org/index.html	(from https://connect.facebook.net/en_US/fbevents.js)
13:51:17	355/355	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2004%20Jun%202026%2008:21:16%20GMT	https://degree-admission.co.in/signals/iwl.js?pixel_id=	C:/manipal/Manipal%20Landing%20Page/degree-admission.co.in/signals/iwl0fc5.js	(from https://connect.facebook.net/en_US/fbevents.js)
13:51:17	355/355	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2004%20Jun%202026%2008:21:16%20GMT	https://degree-admission.co.in/n.dl	C:/manipal/Manipal%20Landing%20Page/degree-admission.co.in/n.dl	(from https://connect.facebook.net/en_US/fbevents.js)
13:51:18	355/355	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2004%20Jun%202026%2008:21:16%20GMT	https://degree-admission.co.in/n.rl	C:/manipal/Manipal%20Landing%20Page/degree-admission.co.in/n.rl	(from https://connect.facebook.net/en_US/fbevents.js)
13:51:20	355/355	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2004%20Jun%202026%2008:21:17%20GMT	https://degree-admission.co.in/favicon.webp	C:/manipal/Manipal%20Landing%20Page/degree-admission.co.in/favicon.webp	(from https://degree-admission.co.in/privacy-policy)
13:51:20	355/355	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2004%20Jun%202026%2008:21:19%20GMT	https://degree-admission.co.in/css/bootstrap.min.css	C:/manipal/Manipal%20Landing%20Page/degree-admission.co.in/css/bootstrap.min.css	(from https://degree-admission.co.in/privacy-policy)
13:51:20	355/355	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2004%20Jun%202026%2008:21:19%20GMT	https://degree-admission.co.in/css/reset.css	C:/manipal/Manipal%20Landing%20Page/degree-admission.co.in/css/reset.css	(from https://degree-admission.co.in/privacy-policy)
13:51:21	355/355	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2004%20Jun%202026%2008:21:19%20GMT	https://degree-admission.co.in/css/style.css	C:/manipal/Manipal%20Landing%20Page/degree-admission.co.in/css/style.css	(from https://degree-admission.co.in/privacy-policy)
13:51:21	355/355	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2004%20Jun%202026%2008:21:20%20GMT	https://degree-admission.co.in/css/responsive.css	C:/manipal/Manipal%20Landing%20Page/degree-admission.co.in/css/responsive.css	(from https://degree-admission.co.in/privacy-policy)
13:51:22	355/355	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2004%20Jun%202026%2008:21:20%20GMT	https://degree-admission.co.in/css/owl.carousel.min.css	C:/manipal/Manipal%20Landing%20Page/degree-admission.co.in/css/owl.carousel.min.css	(from https://degree-admission.co.in/privacy-policy)
13:51:22	355/355	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2004%20Jun%202026%2008:21:20%20GMT	https://degree-admission.co.in/css/owl.theme.default.min.css	C:/manipal/Manipal%20Landing%20Page/degree-admission.co.in/css/owl.theme.default.min.css	(from https://degree-admission.co.in/privacy-policy)
13:51:22	355/355	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2004%20Jun%202026%2008:21:21%20GMT	https://degree-admission.co.in/css/animate.css	C:/manipal/Manipal%20Landing%20Page/degree-admission.co.in/css/animate.css	(from https://degree-admission.co.in/privacy-policy)
13:51:23	355/355	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2004%20Jun%202026%2008:21:21%20GMT	https://degree-admission.co.in/css/pro.css	C:/manipal/Manipal%20Landing%20Page/degree-admission.co.in/css/pro.css	(from https://degree-admission.co.in/privacy-policy)
13:51:23	355/355	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2004%20Jun%202026%2008:21:21%20GMT	https://degree-admission.co.in/js/jquery.min.js	C:/manipal/Manipal%20Landing%20Page/degree-admission.co.in/js/jquery.min.js	(from https://degree-admission.co.in/privacy-policy)
13:51:24	355/355	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2004%20Jun%202026%2008:21:22%20GMT	https://degree-admission.co.in/js/axios.min.js	C:/manipal/Manipal%20Landing%20Page/degree-admission.co.in/js/axios.min.js	(from https://degree-admission.co.in/privacy-policy)
13:51:24	55262/55262	U-----	200	untouched ('')	application/javascript	etag:%22808fed96cbddc1:0%22	http://bat.bing.com/bat.js	C:/manipal/Manipal%20Landing%20Page/bat.bing.com/bat.js	(from https://degree-admission.co.in/privacy-policy)
13:51:24	355/355	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2004%20Jun%202026%2008:21:22%20GMT	https://degree-admission.co.in/info@degree-admission.co.in	C:/manipal/Manipal%20Landing%20Page/degree-admission.co.in/info@degree-admission.co.in	(from https://degree-admission.co.in/privacy-policy)
